corpus	sent_id	left	node	right	node_sentences	usage
ind_mixed_2012_1M	900144	Dilihat dari seragam yang	dikenakan	, aku berkesimpulan bahwa dia adalah karyawan perusahaan garment yang ada di seberang jalan.	Dilihat dari seragam yang <m>dikenakan</m>, aku berkesimpulan bahwa dia adalah karyawan perusahaan garment yang ada di seberang jalan.	wear
ind_mixed_2012_1M	365816	Menilik pakaian yang	dikenakan	, anak muda itu bukan seorang prajurit.	Menilik pakaian yang <m>dikenakan</m>, anak muda itu bukan seorang prajurit.	wear
ind_mixed_2012_1M	880013	Dari balik bra yang	dikenakan	, ia mengeluarkan sebungkus cairan.	Dari balik bra yang <m>dikenakan</m>, ia mengeluarkan sebungkus cairan.	wear
ind_mixed_2012_1M	254637	Dari baju yang	dikenakan	, jam tangan sampai sepatu yang membungkus Para anak didik Joyce sebagian ada yang tinggal di rumah, sebagian lagi dikontrakkan di sebuah apartemen, tak jauh dari rumah penampungan.	Dari baju yang <m>dikenakan</m>, jam tangan sampai sepatu yang membungkus Para anak didik Joyce sebagian ada yang tinggal di rumah, sebagian lagi dikontrakkan di sebuah apartemen, tak jauh dari rumah penampungan.	wear
ind_mixed_2012_1M	496258	Untuk masuk ketempat rekreasi semacam itu, tarif yang	dikenakan	, jauh melebihi penghasilan harian para pelaku ekonomi rakyat.	Untuk masuk ketempat rekreasi semacam itu, tarif yang <m>dikenakan</m>, jauh melebihi penghasilan harian para pelaku ekonomi rakyat.	subject to/imposed
ind_mixed_2012_1M	239362	“Kami berusaha membuat busana yang nyaman	dikenakan	, karena pada rentang usia tersebut, anak sedang aktif-aktifnya bergerak.	“Kami berusaha membuat busana yang nyaman <m>dikenakan</m>, karena pada rentang usia tersebut, anak sedang aktif-aktifnya bergerak.	wear
ind_mixed_2012_1M	639296	Berbeda ketika sarung	dikenakan	, maka akan muncul permainan makna di situ.	Berbeda ketika sarung <m>dikenakan</m>, maka akan muncul permainan makna di situ.	wear
ind_mixed_2012_1M	655203	Karena adanya pretest sebelum dikenakan perlakuan, dan adanya post test sesudah perlakuan	dikenakan	, maka dapat dibuat perbandingan terhadap prestasi belajar dari kelompok percobaan yang sama.	Karena adanya pretest sebelum dikenakan perlakuan, dan adanya post test sesudah perlakuan <m>dikenakan</m>, maka dapat dibuat perbandingan terhadap prestasi belajar dari kelompok percobaan yang sama.	subject to/imposed
ind_mixed_2012_1M	766300	Mulai dari hal sederhana seperti pakaian yang akan	dikenakan	, sampai keputusan besar dalam hidup Anda.	Mulai dari hal sederhana seperti pakaian yang akan <m>dikenakan</m>, sampai keputusan besar dalam hidup Anda.	wear
ind_mixed_2012_1M	131140	Dari baju yang	dikenakan	, tampak wah dan mahal.	Dari baju yang <m>dikenakan</m>, tampak wah dan mahal.	wear
ind_mixed_2012_1M	423489	Konvensi Laut, yang ikut ditandatangani Rusia, mengatakan bahwa pengadilan suatu negara yang menangkap kapal perompak di laut lepas berhak untuk memutuskan hukuman apa yang harus	dikenakan	.	Konvensi Laut, yang ikut ditandatangani Rusia, mengatakan bahwa pengadilan suatu negara yang menangkap kapal perompak di laut lepas berhak untuk memutuskan hukuman apa yang harus <m>dikenakan</m>.	subject to/imposed
ind_mixed_2012_1M	476231	Jika Anda menggunakan strategi ini, pastikan Anda memberikan informasi yang sesuai dengan harga yang	dikenakan	.	Jika Anda menggunakan strategi ini, pastikan Anda memberikan informasi yang sesuai dengan harga yang <m>dikenakan</m>.	subject to/imposed
ind_mixed_2012_1M	914257	Sebaliknya sistem pajak regresif adalah apabila pendapatan semakin tinggi semakin rendah persentase pajak yang	dikenakan	.	Sebaliknya sistem pajak regresif adalah apabila pendapatan semakin tinggi semakin rendah persentase pajak yang <m>dikenakan</m>.	subject to/imposed
ind_mixed_2012_1M	952931	Dan kedua, hasil investasi dari dana yang Anda tanamkan dalam bentuk deposito di koperasi nilainya masih lebih besar dari besaran bunga kredit yang	dikenakan	.	Dan kedua, hasil investasi dari dana yang Anda tanamkan dalam bentuk deposito di koperasi nilainya masih lebih besar dari besaran bunga kredit yang <m>dikenakan</m>.	subject to/imposed
ind_mixed_2012_1M	970898	Hanya dalam tugas khusus yang beresiko tinggi, seperti operasi militer atau operasi tim SWAT akan	dikenakan	.	Hanya dalam tugas khusus yang beresiko tinggi, seperti operasi militer atau operasi tim SWAT akan <m>dikenakan</m>.	wear
ind_mixed_2012_1M	37548	Sesuai dengan namanya, label yang ditujukan untuk anak usia 3-13 tahun ini memiliki koleksi busana yang mudah dipadukan, mulai dari basic plus, rompi, rok, celana, legging, jaket hingga kerudung dan aksesoris dengan desain sporty yang nyaman	dikenakan	.	Sesuai dengan namanya, label yang ditujukan untuk anak usia 3-13 tahun ini memiliki koleksi busana yang mudah dipadukan, mulai dari basic plus, rompi, rok, celana, legging, jaket hingga kerudung dan aksesoris dengan desain sporty yang nyaman <m>dikenakan</m>.	wear
ind_mixed_2012_1M	128421	Tak ada pakaian khusus yang	dikenakan	.	Tak ada pakaian khusus yang <m>dikenakan</m>.	wear
ind_mixed_2012_1M	236361	Penataan fisik yang saya lihat adalah seragam baju yang	dikenakan	.	Penataan fisik yang saya lihat adalah seragam baju yang <m>dikenakan</m>.	wear
ind_mixed_2012_1M	263372	Bila anda berprofesi sebagai pengacara atau lawyer, pastilah penampilan anda harus terlihat profesional, inteligent dan nyaman untuk	dikenakan	.	Bila anda berprofesi sebagai pengacara atau lawyer, pastilah penampilan anda harus terlihat profesional, inteligent dan nyaman untuk <m>dikenakan</m>.	wear
ind_mixed_2012_1M	270640	4. Demikian pula saat memilih rangka kacamata, pilihlah rangka yang sesuai dengan selera dan nyaman saat	dikenakan	.	4. Demikian pula saat memilih rangka kacamata, pilihlah rangka yang sesuai dengan selera dan nyaman saat <m>dikenakan</m>.	wear
ind_mixed_2012_1M	304172	Meski demikian, talentanya sudah menarik perhatian dan kostum timnas senior Argentina pun berhasil	dikenakan	.	Meski demikian, talentanya sudah menarik perhatian dan kostum timnas senior Argentina pun berhasil <m>dikenakan</m>.	wear
ind_mixed_2012_1M	329409	” Dirinya langsung tahu karena kesamaan busana yang	dikenakan	.	” Dirinya langsung tahu karena kesamaan busana yang <m>dikenakan</m>.	wear
ind_mixed_2012_1M	372701	"Efek ""tekanan"" yang dihasilkan peluru Dengan menggunakan material yang sekarang, makin tinggi tingkat keamanan yang diberikan (makin tinggi level), maka akan semakin tebal dan berat baju yang harus"	dikenakan	.	"Efek ""tekanan"" yang dihasilkan peluru Dengan menggunakan material yang sekarang, makin tinggi tingkat keamanan yang diberikan (makin tinggi level), maka akan semakin tebal dan berat baju yang harus <m>dikenakan</m>."	wear
ind_mixed_2012_1M	378428	Jari-jari tangan yang satu juga sudah lancar mengelus-menelusuri lepitan kewanitaan Surti, walau celana dalam masih terpasang dan celana pendek masih	dikenakan	.	Jari-jari tangan yang satu juga sudah lancar mengelus-menelusuri lepitan kewanitaan Surti, walau celana dalam masih terpasang dan celana pendek masih <m>dikenakan</m>.	wear
ind_mixed_2012_1M	658872	Setiap profesi memiliki identitas sendiri melalui simbol, logo, atau pakaian yang	dikenakan	.	Setiap profesi memiliki identitas sendiri melalui simbol, logo, atau pakaian yang <m>dikenakan</m>.	wear
ind_mixed_2012_1M	662090	Masih lebih menghibur tindakan awak truk (yang saya jumpai di Klaten), yang memanfaatkan angin untuk mengeringkan, atau sekadar mengusir bau badan yang telanjur melekat pada pakaian yang semula	dikenakan	.	Masih lebih menghibur tindakan awak truk (yang saya jumpai di Klaten), yang memanfaatkan angin untuk mengeringkan, atau sekadar mengusir bau badan yang telanjur melekat pada pakaian yang semula <m>dikenakan</m>.	wear
ind_mixed_2012_1M	708277	Tapi yang paling unik adalah bajunya pangeran monyet, Ozy, tidak ada yang menyamainya masalah gaya baju yang	dikenakan	.	Tapi yang paling unik adalah bajunya pangeran monyet, Ozy, tidak ada yang menyamainya masalah gaya baju yang <m>dikenakan</m>.	wear
ind_mixed_2012_1M	971003	Bila pinjaman	dikenakan	5%, jadi dalam tempo 20 tahun negara akan membayar riba (bunga) dengan jumlah yang sama dengan yang dipinjam.	Bila pinjaman <m>dikenakan</m> 5%, jadi dalam tempo 20 tahun negara akan membayar riba (bunga) dengan jumlah yang sama dengan yang dipinjam.	subject to/imposed
ind_mixed_2012_1M	389037	Namun, karena proyek bersifat sosial, untuk pendidikan, retribusinya hanya	dikenakan	50%.	Namun, karena proyek bersifat sosial, untuk pendidikan, retribusinya hanya <m>dikenakan</m> 50%.	subject to/imposed
ind_mixed_2012_1M	116924	Seperti kain dalam tafsiran Baldwin yang ditafsirkan Goenawan dalam sebuah esai panjang yang sangat bagus tentang identitas, sebaiknya	dikenakan	agak longgar, tidakterlampau ketat atau kedodoran.	Seperti kain dalam tafsiran Baldwin yang ditafsirkan Goenawan dalam sebuah esai panjang yang sangat bagus tentang identitas, sebaiknya <m>dikenakan</m> agak longgar, tidakterlampau ketat atau kedodoran.	wear
ind_mixed_2012_1M	273676	Pada tahun 2003, sekitar 83% jenis produk yang masuk ke Indonesia	dikenakan	applied tarif 0-10%; 15% produk jatuh pada tingkat applied tariff antara 15-20% dan hanya 1% produk menerapkan applied tariff di atas 30%.	Pada tahun 2003, sekitar 83% jenis produk yang masuk ke Indonesia <m>dikenakan</m> applied tarif 0-10%; 15% produk jatuh pada tingkat applied tariff antara 15-20% dan hanya 1% produk menerapkan applied tariff di atas 30%.	subject to/imposed
ind_mixed_2012_1M	713693	Ditegaskan bahwa manompa & mambahen dapat	dikenakan	atau kepada manusia atau kepada Allah.	Ditegaskan bahwa manompa & mambahen dapat <m>dikenakan</m> atau kepada manusia atau kepada Allah.	be applied to
ind_mixed_2012_1M	188711	Perlakuan (dalam bahasa inggris disebut treatment) adalah suatu set khusus yang	dikenakan	atau yang dilakukan terhadap sebuah unit percobaan dalam batas-batas desain yang digunakan.	Perlakuan (dalam bahasa inggris disebut treatment) adalah suatu set khusus yang <m>dikenakan</m> atau yang dilakukan terhadap sebuah unit percobaan dalam batas-batas desain yang digunakan.	subject to/imposed
ind_mixed_2012_1M	529640	Ada azaz praduga tak bersalah dalam hukum, dan saya mau kamu	dikenakan	azaz itu.	Ada azaz praduga tak bersalah dalam hukum, dan saya mau kamu <m>dikenakan</m> azaz itu.	subject to/imposed
ind_mixed_2012_1M	993142	Sedangkan dalam bentuk olahan atau setengah jadi,tidak ada bea keluar yang	dikenakan	bagi eksportir kakao.	Sedangkan dalam bentuk olahan atau setengah jadi,tidak ada bea keluar yang <m>dikenakan</m> bagi eksportir kakao.	subject to/imposed
ind_mixed_2012_1M	273316	“Sanksi pidana akan	dikenakan	bagi siapa saja yang melanggar aturan tersebut.	“Sanksi pidana akan <m>dikenakan</m> bagi siapa saja yang melanggar aturan tersebut.	subject to/imposed
ind_mixed_2012_1M	918318	Bayi laki-laki	dikenakan	baju berwarna biru muda dan warna merah muda untuk bayi perempuan; bayi ditimang-timang dan dimanja oleh ibu yang lembut; bayi, dibiarkan menangis oleh ibu yang tidak mau memanjakan anak.	Bayi laki-laki <m>dikenakan</m> baju berwarna biru muda dan warna merah muda untuk bayi perempuan; bayi ditimang-timang dan dimanja oleh ibu yang lembut; bayi, dibiarkan menangis oleh ibu yang tidak mau memanjakan anak.	wear
ind_mixed_2012_1M	574093	Jika kita	dikenakan	bala itu tandanya kita berada di dalam golongan hamba-hamba yang dikasihi-Nya.	Jika kita <m>dikenakan</m> bala itu tandanya kita berada di dalam golongan hamba-hamba yang dikasihi-Nya.	subject to/imposed
ind_mixed_2012_1M	300520	Hal itu, justru dinilai positif karena tingkat bunga yang	dikenakan	bank asing lebih rendah ketimbang bank lokal.	Hal itu, justru dinilai positif karena tingkat bunga yang <m>dikenakan</m> bank asing lebih rendah ketimbang bank lokal.	subject to/imposed
ind_mixed_2012_1M	777959	Saya tidak tau banyak mengenai biaya yang	dikenakan	bank yang menjual reksadana.	Saya tidak tau banyak mengenai biaya yang <m>dikenakan</m> bank yang menjual reksadana.	subject to/imposed
ind_mixed_2012_1M	56176	Setelah registrasi kami kemudian “medical check-up” yang	dikenakan	bayaran sebesar Rp 250 ribu.	Setelah registrasi kami kemudian “medical check-up” yang <m>dikenakan</m> bayaran sebesar Rp 250 ribu.	subject to/imposed
ind_mixed_2012_1M	132192	Barang yang berasal dari Asia Barat, seperti India, Persia, Arab, dan lain-lain,	dikenakan	bea sebesar 6%.	Barang yang berasal dari Asia Barat, seperti India, Persia, Arab, dan lain-lain, <m>dikenakan</m> bea sebesar 6%.	subject to/imposed
ind_mixed_2012_1M	611868	“Kalau penghapusan pajak ganda murabahah temyata hanya untuk mengundang asing datang, sedangkan bank lokal masih	dikenakan	beban pajak itu sama saja menyulitkan.	“Kalau penghapusan pajak ganda murabahah temyata hanya untuk mengundang asing datang, sedangkan bank lokal masih <m>dikenakan</m> beban pajak itu sama saja menyulitkan.	subject to/imposed
ind_mixed_2012_1M	642113	Mengapa mereka justru yang akan	dikenakan	beban tambahan?	Mengapa mereka justru yang akan <m>dikenakan</m> beban tambahan?	subject to/imposed
ind_mixed_2012_1M	802596	Gaun yang	dikenakan	ber-warna hitam lengkap dengan asesoris bulu panjang dan belahan lebar di punggung.	Gaun yang <m>dikenakan</m> ber-warna hitam lengkap dengan asesoris bulu panjang dan belahan lebar di punggung.	wear
ind_mixed_2012_1M	426215	Tatabusana yang	dikenakan	bergaya mesiran, bukan kejawen dan bukan basahan.	Tatabusana yang <m>dikenakan</m> bergaya mesiran, bukan kejawen dan bukan basahan.	wear
ind_mixed_2012_1M	973186	Seorang penumpang dipungut ongkos sebesar 1.500 rupiah untuk umum, sedangkan untuk pelajar	dikenakan	biaya 1000 rupiah untuk satu kali jalan.	Seorang penumpang dipungut ongkos sebesar 1.500 rupiah untuk umum, sedangkan untuk pelajar <m>dikenakan</m> biaya 1000 rupiah untuk satu kali jalan.	subject to/imposed
ind_mixed_2012_1M	206130	Bagi yang datang hanya tambah angin	dikenakan	biaya 1000 rupiah.	Bagi yang datang hanya tambah angin <m>dikenakan</m> biaya 1000 rupiah.	subject to/imposed
ind_mixed_2012_1M	175302	Namun, saat menerima laporan keuangan kartu kredit, saya sangat terkejut karena	dikenakan	biaya administrasi sebesar Rp 50.000 dikali lima kali dengan total Rp 250.000.	Namun, saat menerima laporan keuangan kartu kredit, saya sangat terkejut karena <m>dikenakan</m> biaya administrasi sebesar Rp 50.000 dikali lima kali dengan total Rp 250.000.	subject to/imposed
ind_mixed_2012_1M	976472	Pada Lembaga Investasi lainnya	dikenakan	biaya broker, administrasi, pajak dan sebagainya.	Pada Lembaga Investasi lainnya <m>dikenakan</m> biaya broker, administrasi, pajak dan sebagainya.	subject to/imposed
ind_mixed_2012_1M	311930	Sejak 1 Januari 2009 lalu, masyarakat Kepri yang hendak berpergian lewat jalur laut	dikenakan	biaya fiskal sebesar Rp 1 juta.	Sejak 1 Januari 2009 lalu, masyarakat Kepri yang hendak berpergian lewat jalur laut <m>dikenakan</m> biaya fiskal sebesar Rp 1 juta.	subject to/imposed
ind_mixed_2012_1M	717200	Dia juga menjanjikan pedagang tradisional ke dua pasar tersebut, jika pasar tersebut jadi dibangun investor, tidak	dikenakan	biaya lagi untuk menempati kios dan stan.	Dia juga menjanjikan pedagang tradisional ke dua pasar tersebut, jika pasar tersebut jadi dibangun investor, tidak <m>dikenakan</m> biaya lagi untuk menempati kios dan stan.	subject to/imposed
ind_mixed_2012_1M	584322	Hari Sabtu, Minggu dan Libur Nasional	dikenakan	biaya masuk seribu lima ratus untuk dewasa dan tujuh ratus lima puluh untuk anak-anak.	Hari Sabtu, Minggu dan Libur Nasional <m>dikenakan</m> biaya masuk seribu lima ratus untuk dewasa dan tujuh ratus lima puluh untuk anak-anak.	subject to/imposed
ind_mixed_2012_1M	864262	Dengan tiket masuk tergolomg sangat murah sekali dimana hari biasa	dikenakan	biaya masuk seribu rupiah untuk dewasa dan enam ratus rupiah untuk anak-anak.	Dengan tiket masuk tergolomg sangat murah sekali dimana hari biasa <m>dikenakan</m> biaya masuk seribu rupiah untuk dewasa dan enam ratus rupiah untuk anak-anak.	subject to/imposed
ind_mixed_2012_1M	921156	Sedangkan untuk servis dan perbaikan yang robek,	dikenakan	biaya mulai 10 ribu rupiah.	Sedangkan untuk servis dan perbaikan yang robek, <m>dikenakan</m> biaya mulai 10 ribu rupiah.	subject to/imposed
ind_mixed_2012_1M	604387	"""Setiap jamaah"	dikenakan	biaya ONH Rp 25 juta.	"""Setiap jamaah <m>dikenakan</m> biaya ONH Rp 25 juta."	subject to/imposed
ind_mixed_2012_1M	414437	Untuk sebuah sepeda motor,	dikenakan	biaya penitipan sebesar 2 ribu rupiah.	Untuk sebuah sepeda motor, <m>dikenakan</m> biaya penitipan sebesar 2 ribu rupiah.	subject to/imposed
ind_mixed_2012_1M	874870	Mereka	dikenakan	biaya penyeberangan Rp7.	Mereka <m>dikenakan</m> biaya penyeberangan Rp7.	subject to/imposed
ind_mixed_2012_1M	714496	Alasan dipilihnya teknologi VoIP adalah untuk mendukung geostrategi Indonesia antara lain karena VoIP jauh lebih murah, atau bahkan dapat dikatakan gratis karena kita tidak	dikenakan	biaya pulsa telepon, hanya memerlukan biaya sambungan Internet saja.	Alasan dipilihnya teknologi VoIP adalah untuk mendukung geostrategi Indonesia antara lain karena VoIP jauh lebih murah, atau bahkan dapat dikatakan gratis karena kita tidak <m>dikenakan</m> biaya pulsa telepon, hanya memerlukan biaya sambungan Internet saja.	subject to/imposed
ind_mixed_2012_1M	86902	Dan untuk permintaan transaksi tersebut masih	dikenakan	biaya Rp 40.000 per transaksi.	Dan untuk permintaan transaksi tersebut masih <m>dikenakan</m> biaya Rp 40.000 per transaksi.	subject to/imposed
ind_mixed_2012_1M	796695	Muhammad Saka (32), keponakan Saleh, berkata, sekarang ini untuk membuat surat keterangan tanah (SKT) di Desa Sepok Laut,	dikenakan	biaya Rp 500 ribu setiap hektar.	Muhammad Saka (32), keponakan Saleh, berkata, sekarang ini untuk membuat surat keterangan tanah (SKT) di Desa Sepok Laut, <m>dikenakan</m> biaya Rp 500 ribu setiap hektar.	subject to/imposed
ind_mixed_2012_1M	227417	Sedangkan untuk penarikan, tidak	dikenakan	biaya sama sekali.	Sedangkan untuk penarikan, tidak <m>dikenakan</m> biaya sama sekali.	subject to/imposed
ind_mixed_2012_1M	679477	Namun, kenyataannya adalah saya	dikenakan	biaya sebesar 10 persen.	Namun, kenyataannya adalah saya <m>dikenakan</m> biaya sebesar 10 persen.	subject to/imposed
ind_mixed_2012_1M	74532	Adapun dalam brosur disebutkan bahwa untuk masuk ke lokasi ini, per orang	dikenakan	biaya sebesar Rp100 ribu per paket.	Adapun dalam brosur disebutkan bahwa untuk masuk ke lokasi ini, per orang <m>dikenakan</m> biaya sebesar Rp100 ribu per paket.	subject to/imposed
ind_mixed_2012_1M	344615	Sebagai perbandingan, untuk Honda Jazz 2004-2007	dikenakan	biaya sekitar Rp 850.000, sedangkan Toyota Great Corolla 1992-1995 berkisar Rp 650.000.	Sebagai perbandingan, untuk Honda Jazz 2004-2007 <m>dikenakan</m> biaya sekitar Rp 850.000, sedangkan Toyota Great Corolla 1992-1995 berkisar Rp 650.000.	subject to/imposed
ind_mixed_2012_1M	516285	Selain lokasi baru nanti lebih representatif, pedagang juga tidak	dikenakan	biaya stan yang terlalu mahal.	Selain lokasi baru nanti lebih representatif, pedagang juga tidak <m>dikenakan</m> biaya stan yang terlalu mahal.	subject to/imposed
ind_mixed_2012_1M	672404	Dan proses risk sharing ini pasti	dikenakan	biaya tambahan dari perusahaan re-asuransi karena perusahaan re-asuransi juga mau untung.	Dan proses risk sharing ini pasti <m>dikenakan</m> biaya tambahan dari perusahaan re-asuransi karena perusahaan re-asuransi juga mau untung.	subject to/imposed
ind_mixed_2012_1M	607398	Sedangkan untuk masuk ke wahana lain di luar paket, setiap orang	dikenakan	biaya tambahan per wahana yang berkisar antara Rp10 ribu hingga Rp15 ribu.	Sedangkan untuk masuk ke wahana lain di luar paket, setiap orang <m>dikenakan</m> biaya tambahan per wahana yang berkisar antara Rp10 ribu hingga Rp15 ribu.	subject to/imposed
ind_mixed_2012_1M	200484	Sedangkan tarif parkir lebih dari tiga jam, pemilik kendaraan tanpa terkecuali akan	dikenakan	biaya tambahan Rp 1250 untuk roda dua, Rp 2000 untuk roda empat dan Rp 3000 untuk roda enam.	Sedangkan tarif parkir lebih dari tiga jam, pemilik kendaraan tanpa terkecuali akan <m>dikenakan</m> biaya tambahan Rp 1250 untuk roda dua, Rp 2000 untuk roda empat dan Rp 3000 untuk roda enam.	subject to/imposed
ind_mixed_2012_1M	743266	"Adapun untuk menonton bioskop 4 dimensi sampai masuk ke wahana ""Jelajah"" dan ""Dunia Lain"", setiap orang"	dikenakan	biaya tambahan Rp25 ribu.	"Adapun untuk menonton bioskop 4 dimensi sampai masuk ke wahana ""Jelajah"" dan ""Dunia Lain"", setiap orang <m>dikenakan</m> biaya tambahan Rp25 ribu."	subject to/imposed
ind_mixed_2012_1M	508407	Berbagai pengurusan kartu tanda penduduk (KTP) atau dokumen, selalu	dikenakan	biaya tinggi bagi masyarakat Cina.	Berbagai pengurusan kartu tanda penduduk (KTP) atau dokumen, selalu <m>dikenakan</m> biaya tinggi bagi masyarakat Cina.	subject to/imposed
ind_mixed_2012_1M	836546	“Jadi untuk pengurusan sertifikat dengan program SMS di Sidoarjo	dikenakan	biaya total sekitar Rp 482.500.	“Jadi untuk pengurusan sertifikat dengan program SMS di Sidoarjo <m>dikenakan</m> biaya total sekitar Rp 482.500.	subject to/imposed
ind_mixed_2012_1M	661650	Kalau sekarang sudah	dikenakan	biaya transaksi, pelanggan akan kabur duluan.	Kalau sekarang sudah <m>dikenakan</m> biaya transaksi, pelanggan akan kabur duluan.	subject to/imposed
ind_mixed_2012_1M	68399	Peserta summer camp	dikenakan	biaya yang jumlahnya tergantung kemampuan orangtua.	Peserta summer camp <m>dikenakan</m> biaya yang jumlahnya tergantung kemampuan orangtua.	subject to/imposed
ind_mixed_2012_1M	517638	Semua perusa¬haan	dikenakan	biaya yang luar biasa tinggi untuk menangani IPO, tak peduh apakah proses penjuaian saham mudah, sulit, atau mrin.	Semua perusa¬haan <m>dikenakan</m> biaya yang luar biasa tinggi untuk menangani IPO, tak peduh apakah proses penjuaian saham mudah, sulit, atau mrin.	subject to/imposed
ind_mixed_2012_1M	528879	Apakah pengguna los di lantai 5 dan 6 gedung parkir tersebut juga	dikenakan	biaya?	Apakah pengguna los di lantai 5 dan 6 gedung parkir tersebut juga <m>dikenakan</m> biaya?	subject to/imposed
ind_mixed_2012_1M	273979	Setiap kali iklan diklik oleh pengunjung, Anda	dikenakan	biaya.	Setiap kali iklan diklik oleh pengunjung, Anda <m>dikenakan</m> biaya.	subject to/imposed
ind_mixed_2012_1M	971779	Sekali lagi, untuk keperluan ekstra	dikenakan	biaya.	Sekali lagi, untuk keperluan ekstra <m>dikenakan</m> biaya.	subject to/imposed
ind_mixed_2012_1M	775910	Dan dengan penuh keberanian ia menarik celana dalam hitam yang	dikenakan	bowo.	Dan dengan penuh keberanian ia menarik celana dalam hitam yang <m>dikenakan</m> bowo.	wear
ind_mixed_2012_1M	227054	Transaksi 1 Maret	dikenakan	bunga Rp 44.417 dan 5 Maret Rp 48.750.	Transaksi 1 Maret <m>dikenakan</m> bunga Rp 44.417 dan 5 Maret Rp 48.750.	subject to/imposed
ind_mixed_2012_1M	504236	Atas ganti rugi yang harus dibayar itu,	dikenakan	bunga sebesar enam persen setahun, terhitung sejak hari hubungan kerja diakhiri.	Atas ganti rugi yang harus dibayar itu, <m>dikenakan</m> bunga sebesar enam persen setahun, terhitung sejak hari hubungan kerja diakhiri.	subject to/imposed
ind_mixed_2012_1M	800633	Namun jika hutang tersebut hanya dibayar sebagian saja, maka sisa hutangnya akan	dikenakan	bunga.	Namun jika hutang tersebut hanya dibayar sebagian saja, maka sisa hutangnya akan <m>dikenakan</m> bunga.	subject to/imposed
ind_mixed_2012_1M	840000	Akankah	dikenakan	charge lainnya jika membeli online?	Akankah <m>dikenakan</m> charge lainnya jika membeli online?	subject to/imposed
ind_mixed_2012_1M	645463	Ketika akan mengambil pakaian yang akan	dikenakan	dari dalam lemari, dimana, sarung itu tersimpan rapi.	Ketika akan mengambil pakaian yang akan <m>dikenakan</m> dari dalam lemari, dimana, sarung itu tersimpan rapi.	wear
ind_mixed_2012_1M	901705	Ia hanya mengenakan baju bikini serba hitam seperti yang	dikenakan	Demi More dalam film Striptease.	Ia hanya mengenakan baju bikini serba hitam seperti yang <m>dikenakan</m> Demi More dalam film Striptease.	wear
ind_mixed_2012_1M	544669	Tidak	dikenakan	denda apabila terjadi keterlambatan angsuran dan tidak dipungut biaya administrasi dan provisi serta tidak ada asuransi jiwa kredit.	Tidak <m>dikenakan</m> denda apabila terjadi keterlambatan angsuran dan tidak dipungut biaya administrasi dan provisi serta tidak ada asuransi jiwa kredit.	subject to/imposed
ind_mixed_2012_1M	975688	Kalau terlambat sehari saja, Anda langsung	dikenakan	denda atau bunga tambahan.	Kalau terlambat sehari saja, Anda langsung <m>dikenakan</m> denda atau bunga tambahan.	subject to/imposed
ind_mixed_2012_1M	929097	Pelanggaran Pasal 15 mengenai berciuman bibir di muka umum	dikenakan	denda mencapai Rp 1 milyar.	Pelanggaran Pasal 15 mengenai berciuman bibir di muka umum <m>dikenakan</m> denda mencapai Rp 1 milyar.	subject to/imposed
ind_mixed_2012_1M	136738	Kalau Anda mencairkan deposito sebelum jatuh tempo, maka Anda akan	dikenakan	denda penalti.	Kalau Anda mencairkan deposito sebelum jatuh tempo, maka Anda akan <m>dikenakan</m> denda penalti.	subject to/imposed
ind_mixed_2012_1M	617939	Selain saksi pidana, pengusaha yang membangun di kawasan cagar budaya juga	dikenakan	denda Rp1 miliar hingga Rp15 miliar.	Selain saksi pidana, pengusaha yang membangun di kawasan cagar budaya juga <m>dikenakan</m> denda Rp1 miliar hingga Rp15 miliar.	subject to/imposed
ind_mixed_2012_1M	291257	Siapapun yang tertangkap melanggar peraturan ini akan	dikenakan	denda sebesar 20000 rupiah!	Siapapun yang tertangkap melanggar peraturan ini akan <m>dikenakan</m> denda sebesar 20000 rupiah!	subject to/imposed
ind_mixed_2012_1M	882339	Dan yang tertangkap untuk ketiga kalinya akan	dikenakan	denda sebesar 200000 rupiah.	Dan yang tertangkap untuk ketiga kalinya akan <m>dikenakan</m> denda sebesar 200000 rupiah.	subject to/imposed
ind_mixed_2012_1M	64069	Kalau ada yang menebang pohon, akan	dikenakan	denda sebesar Rp10 juta.	Kalau ada yang menebang pohon, akan <m>dikenakan</m> denda sebesar Rp10 juta.	subject to/imposed
ind_mixed_2012_1M	25712	Akhmad mengatakan maskapai PIA	dikenakan	denda senilai Rp 120 juta atas pelanggaran memasuki wilayah Indonesia tanpa izin.	Akhmad mengatakan maskapai PIA <m>dikenakan</m> denda senilai Rp 120 juta atas pelanggaran memasuki wilayah Indonesia tanpa izin.	subject to/imposed
ind_mixed_2012_1M	576521	End-user dapat	dikenakan	denda untuk pelanggaran aturan FCC sementara mereka menggunakan peralatannya.	End-user dapat <m>dikenakan</m> denda untuk pelanggaran aturan FCC sementara mereka menggunakan peralatannya.	subject to/imposed
ind_mixed_2012_1M	425910	Dalam satu minggu, kepada seorang buruh tidak boleh	dikenakan	denda-denda yang jumlahnya melebihi upahnya dalam sehari.	Dalam satu minggu, kepada seorang buruh tidak boleh <m>dikenakan</m> denda-denda yang jumlahnya melebihi upahnya dalam sehari.	subject to/imposed
